发震时间(utc+8),经度,纬度,震级(M),震源深度(Km),震中位置,死亡人数,直接经济损（万元）
1988-04-15 00:12:00,102.76,26.36,5.4,9,四川会东东南,0,200
1988-01-10 00:12:00,100.96,27.23,5.5,16,云南宁蒗,0,3500
1988-01-04 00:12:00,106.34,38.07,5.5,24,宁夏灵武,0,830
1987-09-26 00:12:00,90.41,29.83,5.1,13,西藏拉萨西北,0,0
1987-09-19 00:12:00,89.64,47.31,5.6,21,新疆富蕴北,0,200
1987-08-10 00:12:00,106.42,38.11,5.2,9,宁夏灵武附近,0,150
1987-08-06 00:12:00,99.01,24.8,5,--,云南施甸,2,0
1987-08-02 00:12:00,115.56,24.96,5.5,12,江西寻乌西,3,4536
1987-05-18 00:12:00,100.26,26.22,5,4,云南鹤庆南,0,0
1987-04-30 00:12:00,74.53,39.78,5.8,26,新疆乌恰西北,0,0
1987-02-26 00:12:00,91.25,38.06,6.1,24,青海茫崖西北,0,0
1987-02-17 00:12:00,120.53,33.58,5.1,18,江苏省射阳,0,300
1987-01-24 00:12:00,79.34,41.47,6.4,26,新疆乌什,0,1500
1987-01-08 00:12:00,103.36,34.26,5.8,20,甘肃迭部北,0,4
1987-01-06 00:12:00,81.02,42.02,5.9,25,新疆拜城,0,0
1986-12-21 00:12:00,93.7,36.72,5.3,15,青海省格尔木,0,10
1986-10-07 00:12:00,102.49,25.43,5.2,9,云南富民、武定间,0,0
1986-09-09 00:12:00,114.95,45.2,5.6,22,内蒙古自治区阿巴嘎旗,0,0
1986-08-26 00:12:00,101.63,37.78,6.5,8,青海门源北,0,30
1986-08-16 00:12:00,126.53,48.59,5.5,28,黑龙江德都东北,0,0
1986-08-12 00:12:00,101.47,27.48,5.4,6,四川盐源西,1,1210
1986-08-07 00:12:00,100.85,29.3,5.5,11,四川理塘东南,2,900
1986-06-21 00:12:00,86.81,31.24,6.4,33,西藏文部地区,0,0
1986-06-13 00:12:00,87.3,43.73,5,21,新疆维吾尔自治区乌鲁木齐,0,0
1986-04-23 00:12:00,89.6,47.5,5.4,16,新疆富蕴,0,0
1986-04-04 00:12:00,95.995,33.11,5.1,10,青海玉树西北,0,0
1986-03-13 00:12:00,100.19,26.19,5.4,10,云南鹤庆南,0,0
1986-03-01 00:12:00,126.68,48.64,5.4,10,黑龙江德都东北,0,13000
1986-02-06 00:12:00,98.37,29.82,5,9,西藏芒康附近,0,0
1985-09-12 00:12:00,75.38,39.36,6.6,26,新疆乌恰附近,4,886
1985-09-02 00:12:00,102.75,23.72,5.3,6,云南建水,0,1000
1985-08-23 00:12:00,75.32,39.53,7.4,18,新疆乌恰,67,10213
1985-08-01 00:12:00,95.16,29.17,5.7,25,西藏米林东,0,50
1985-06-21 00:12:00,112.51,42.57,5.3,--,内蒙古自治区苏尼特右旗,0,10
1985-04-18 00:12:00,102.93,25.89,6.3,9,云南禄劝东北,23,5180
1985-01-16 00:12:00,95.26,32.94,5.2,15,青海杂多,0,300
1984-11-23 00:12:00,106.3,38.05,5.3,17,宁夏灵武西,0,2
1984-05-21 00:12:00,121.6,32.64,6.2,16,南黄海,13,100
1984-04-24 00:12:00,99.19,21.9745,6.3,0,云南孟连西南,0,0
1984-02-17 00:12:00,100.78,37.95,5.1,28,青海祁连山东南,0,5
1984-01-06 00:12:00,102.17,37.96,5.3,17,甘肃天祝西北,0,0
1983-12-15 00:12:00,87.5,42.8,5.2,30,新疆和静,0,0
1983-11-07 00:12:00,115.25,35.17,5.9,15,山东菏泽,46,30400
1983-06-01 00:12:00,88.6,43.85,5.3,--,新疆阜康县,0,0
1983-05-28 00:12:00,101.4,22.41,5.2,5,云南景洪东北,0,148.4
1983-02-13 00:12:00,75.07,39.97,6.7,17,新疆乌恰北,1,0
1983-01-17 00:12:00,107.01,40.03,5.2,30,内蒙古磴口,0,0
1982-12-28 00:12:00,99.42,25.56,5.3,12,云南永平附近,0,28.3
1982-12-28 00:12:00,101.14,22.34,5.4,12,云南景洪,0,42.4
1982-10-27 00:12:00,105.96,23.8,5.8,15,云南富宁东,2,94.1
1982-10-08 00:12:00,100.02,26.45,5.1,25,云南洱源,0,0
1982-07-03 00:12:00,100.14,26.65,5.4,15,云南剑川附近,2,100
1982-06-16 00:12:00,100.03,31.96,6,15,四川甘孜西北,11,292
1982-04-14 00:12:00,105.63,36.71,5.5,20,宁夏海原,0,1288
1982-02-25 00:12:00,114.8,24.74,5,16,江西省龙南县,0,0
1981-11-09 00:12:00,114.99,37.4,5.8,20,河北龙尧县东,0,186
1981-09-19 00:12:00,101.46,23.02,6,33,云南普洱,2,0
1981-08-13 00:12:00,113.41,40.58,5.8,18,内蒙古丰镇东,1,440
1981-07-07 00:12:00,97.67,25.42,5.1,25,云南盈江西北,0,0
1981-04-26 00:12:00,122.02,48.89,5.1,20,内蒙古喜桂图旗博克图,0,487
1981-01-24 00:12:00,101.11,31.01,6.9,12,四川道孚附近,123,3228
1980-11-06 00:12:00,86.2,43.8,5.8,30,新疆玛纳斯南,0,20.1
1980-06-18 00:12:00,103.87,23.53,5.8,20,云南蒙自东北,0,0
1980-04-18 00:12:00,99.13,37.86,5.2,15,青海木里、天俊北,0,0
1980-02-22 00:12:00,88.59,30.57,6.6,15,西藏申扎南,0,0
1980-02-14 00:12:00,76.95,36.39,5.8,29,新疆叶城南,0,0
1980-02-10 00:12:00,122.22,48.88,5.6,5,内蒙古喜桂图旗博克图,0,314
1980-02-02 00:12:00,101.29,27.85,5.8,16,四川木里附近,0,0
1979-12-06 00:12:00,95.6,30.1,5.1,10,西藏波宝西北,0,0
1979-12-02 00:12:00,90.3,38.5,5.7,24,青海格孜湖西北,0,0
1979-08-25 00:12:00,108.1,41.2,6,18,内蒙古五原附近,0,2033
1979-08-09 00:12:00,98.8,25,5,10,云南保山西北,0,0
1979-07-09 00:12:00,119.25,31.47,6,12,江苏溧阳西南,42,24507
1979-06-19 00:12:00,111.87,37.01,5.2,12,山西介休,3,2000
1979-05-22 00:12:00,110.5,31.08,5.1,16,湖北秭归,0,50
1979-03-29 00:12:00,83.4,42,6,20,新疆库车东北,0,0
1979-03-29 00:12:00,97.3,32.4,6.2,45,青海玉树东南,0,13.3
1979-03-15 00:12:00,101.1,23.2,6.8,10,云南普洱,12,1634
1979-03-02 00:12:00,117.4,33.19,5,11,安徽固镇,0,0
1978-10-08 00:12:00,74.8,39.4,6,50,新疆乌恰西南,0,2.5
1978-09-10 00:12:00,101.17,22.95,5.8,--,云南普洱,3,85
1978-08-31 00:12:00,101,27.62,5.6,--,四川盐源西北,0,0
1978-07-13 00:12:00,102.95,31.93,5.4,10,四川黑水西南,0,0
1978-05-19 00:12:00,100.3,25.53,5.3,--,云南下关,0,15
1978-05-18 00:12:00,122.62,40.72,5.9,13,辽宁营口、海城间,1,1368
1978-04-22 00:12:00,85.9,41.9,5.4,24,新疆库尔勒西北,0,0
1977-12-19 00:12:00,77.3,39.9,6.2,21,新疆伽师东北西克尔,0,0
1977-10-19 00:12:00,107.6,23.4,5,16,广西平果,0,0
1977-07-23 00:12:00,83.5,42.3,5.4,30,新疆库车东北,0,0
1977-05-12 00:12:00,117.7,39.2,6.2,19,天津汉沽,0,0
1977-03-17 00:12:00,99.41,25.51,5.4,--,云南漾濞西北,0,0
1977-01-02 00:12:00,91.2,38.2,6.4,16,青海茫崖,2,0
1976-12-13 00:12:00,101,27.4,6.4,21,四川盐源西南,33,0
1976-11-15 00:12:00,117.7,39.4,6.9,17,天津宁河西,0,25
1976-11-07 00:12:00,101.1,27.6,6.7,21,四川盐源,0,0
1976-10-09 00:12:00,102.3,24.1,5.3,24,云南峨山,0,15
1976-09-23 00:12:00,106.4,39.9,6.2,20,内蒙古阿拉善左旗北,0,0
1976-09-19 00:12:00,101.04,22.29,5.2,20,云南景洪,0,67
1976-08-31 00:12:00,118.7,39.8,5.6,10,河北滦县,0,11
1976-08-16 00:12:00,104.1,32.6,7.2,15,四川松潘、平武间,41,0
1976-08-03 00:12:00,77.9,40.9,5.2,23,新疆阿合奇西,0,11
1976-07-28 00:12:00,118,39.4,7.8,22,河北唐山,242769,300000
1976-07-21 00:12:00,98.7,24.8,6.6,16,云南腾冲,0,0
1976-06-09 00:12:00,98.7,24.8,6.2,10,云南腾冲,0,0
1976-05-31 00:12:00,98.7,24.3,6.5,17,云南潞西,0,0
1976-05-29 00:12:00,99,24.5,7.3,24,云南龙陵东,98,14000
1976-04-06 00:12:00,112.1,40.2,6.3,18,内蒙古和林格尔东南,28,1500
1976-02-16 00:12:00,100.7,22.8,5.8,10,云南普洱西南,1,7.2
1976-01-10 00:12:00,83.3,42.2,5.8,--,新疆库车东北,1,0
1975-10-28 00:12:00,101.8,21.5,5.7,39,云南勐腊,0,12.8
1975-09-04 00:12:00,99.9,25.9,5,5,云南漾濞北,0,9.8
1975-07-09 00:12:00,103.3,23.9,5.3,18,云南建水东北,0,61.3
1975-06-04 00:12:00,79.7,35.9,6.1,--,新疆和田南,0,4.5
1975-05-05 00:12:00,92.9,33.2,6.4,12,青海杂多卡赛渡口附近,0,1.4
1975-03-08 00:12:00,104.2,28.4,5.3,30,云南盐津北,0,33.2
1975-02-04 00:12:00,122.8,40.7,7.3,16,辽宁海城,1328,810000
1975-01-15 00:12:00,101.9,29.4,6.2,25,四川九龙东北,0,141.6
1975-01-12 00:12:00,101.6,24.9,5.4,10,云南楚雄,0,8
1974-11-17 00:12:00,104.1,33,5.7,--,四川南坪,0,0
1974-09-23 00:12:00,102.6,33.8,5.6,12,四川若尔盖西北,0,71.3
1974-08-11 00:12:00,73.8,39.4,7.3,30,新疆乌恰西南,0,0.4
1974-06-15 00:12:00,99.9,31.6,5,13,四川甘孜附近,0,0
1974-05-11 00:12:00,104.1,28.2,7.1,14,云南昭通大关北,1541,9000
1974-04-22 00:12:00,119.1,31.6,5.5,16,江苏溧阳,8,3491
